ab	a p
abfertigung	a p f ɛ ʁ t i ɡ ʊ ŋ
abfinden	a p f ɪ n d ə n
abflug	ʔ a p f l uː k
abgang	a p ɡ a ŋ
abkürzung	a p k ʏ ʁ t s ʊ ŋ
abschirmen	a p ʃ ɪ ʁ m ə n
abstand	a p ʃ t a n t
abstrich	a p ʃ t ʁ ɪ ç
abwehrspieler	a p v ɛ ɐ̯ ʃ p iː l ɐ
abzug	a p t͡s uː k
all	a l
allein	a l a ɪ n
allem	a l ə m
allerdings	ʔ a l ɐ d ɪ ŋ s
alte	a l t ə
amt	a m t
an	ʔ a n
anblick	ʔ a n b l ɪ k
andere	ʔ a n d ə ʁ ə
anderer	a n d ə r ə r
anfang	ʔ a n f a ŋ
angesichts	ʔ a n ɡ ə z ɪ ç t s
angespannt	a n ɡ ə ʃ p a n t
angewiesen	a n ɡ ə v iː z n̩
angriff	a n ɡ ʁ ɪ f
ankündigung	a n k ʏ n d ɪ ɡ ʊ ŋ
ansatz	a n z a t s
anschauen	ʔ a n ʃ a ʊ̯ ə n
ansicht	ʔ a n z ɪ ç t
antje	ʔ a n t j ə
antworten	a n t v ɔ ʁ t ə n
anwohner	a n v oː n ɐ
anzahl	a n t s aː l
arbeitsplatz	ʔ a ʁ b a ɪ̯ t s p l a t s
architektur	a ʁ ç i t ɛ k t uː ɐ̯
aschenbrödel	a ʃ n̩ b ʁ øː d l̩
atem	aː t ə m
attacke	a t a k ə
attila	a t i l a
auf	a ʊ̯ f
aufkleber	a ʊ̯ f k l eː b ɐ
aufrechterhalten	a ʊ̯ f ʁ ɛ ç t ʔ ɛ ɐ̯ h a l t n̩
aufruf	a ʊ̯ f ʁ uː f
aufs	a ʊ̯ f s
aufschlag	a ʊ̯ f ʃ l aː k
aus	a ʊ s
ausfallen	a ʊ̯ s f a l ə n
ausführung	ʔ a ʊ̯ s f yː ʁ ʊ ŋ
ausgeben	a ʊ̯ s ɡ eː b ə n
ausgebildet	a ʊ̯ s ɡ ə b ɪ l d ə t
ausgehen	ʔ a ʊ̯ s ɡ eː ə n
ausgeschlossen	a ʊ̯ s ɡ ə ʃ l ɔ s ə n
ausmass	a ʊ̯ s m aː s
ausnahme	a ʊ̯ s n aː m ə
aussage	a ʊ̯ s z aː ɡ ə
ausser	a ʊ̯ s ɐ
ausserhalb	a ʊ̯ s ɐ h a l p
ausstellung	a ʊ̯ s ʃ t ɛ l ʊ ŋ
bahn	b aː n
bayern	b a ɪ̯ ɐ n
beckmann	b ɛ k m a n
bedarf	b ə d a ʁ f
befürworten	b ə f yː ɐ̯ v ɔ ʁ t n̩
befürworter	b ə f yː ɐ̯ v ɔ ʁ t ɐ
begeistert	b ə ɡ a ɪ̯ s t ɐ t
behandlung	b ə h a n d l ʊ ŋ
behinderung	b ə h ɪ n d ə ʁ ʊ ŋ
beifahrer	b a ɪ̯ f aː ʁ ɐ
bein	b a ɪ̯ n
beispielsweise	b a ɪ̯ ʃ p iː l s v a ɪ̯ z ə
bekannt	b ə k a n t
bekenntnis	b ə k ɛ n t n ɪ s
bekommen	b ə k ɔ m ə n
bekämpft	b ə k ɛ m f t
berauben	b ə ʁ a ʊ̯ b n̩
bereich	b ə ʁ a ɪ̯ ç
bereit	b ə ʁ a ɪ̯ t
bergland	b ɛ ʁ k l a n t
beschluss	b ə ʃ l ʊ s
beschlussfähig	b ə ʃ l ʊ s f ɛː ɪ ç
beschweren	b ə ʃ v eː ʁ ə n
besprechen	b ə ʃ p ʁ ɛ ç ə n
besser	b ɛ s ɐ
bestellung	b ə ʃ t ɛ l ʊ ŋ
besuch	b ə z uː χ
besucher	b ə z uː x ɐ
bettina	b ɛ t iː n a
bevölkerung	b ə f œ l k ə ʁ ʊ ŋ
bewahren	b ə v aː ʁ ə n
bewohner	b ə v oː n ɐ
bewährungsstrafe	b ə v ɛː ʁ ʊ ŋ s ʃ t ʁ aː f ə
beziehung	b ə t s iː ʊ ŋ
bezirk	b ə t͡s ɪ ʁ k
bezwingen	b ə t͡s v ɪ ŋ ə n
bieten	b iː t ə n
bilden	b ɪ l d ə n
bildung	b ɪ l d ʊ ŋ
bin	b ɪ n
bisher	b ɪ s h eː ɐ̯
